customer_id,age,income,employment_status,credit_score,loan_amount,interest_rate,loan_duration,debt_to_income_ratio,num_late_payments,loan_status
144,61,92746,Employed,496,8659,5.22,38,30.94,3,0
145,57,196774,Employed,715,49722,23.0,58,11.88,9,0
146,39,122260,Employed,605,9128,12.0,43,28.55,8,1
147,44,157129,Self-Employed,777,40857,7.04,21,17.18,3,0
148,52,148259,Self-Employed,835,23143,14.58,15,51.36,6,1
149,18,50916,Unemployed,519,18081,4.22,48,49.11,5,1
150,52,47268,Employed,653,21341,22.15,53,18.76,1,0
151,54,195050,Employed,534,14729,5.17,46,24.23,3,1
152,64,43259,Employed,605,25293,4.48,49,38.5,2,1
153,31,99400,Unemployed,409,13559,14.33,57,22.47,5,0
154,20,54293,Self-Employed,613,44450,18.85,22,12.78,6,0
155,18,131581,Employed,312,42472,23.63,57,48.27,4,0
156,22,27043,Employed,466,40323,4.92,48,14.56,5,1
157,43,127009,Employed,352,2038,12.04,28,43.89,3,0
158,72,58893,Employed,485,32405,10.25,6,17.49,6,0
159,31,191714,Employed,575,9735,23.08,34,10.38,3,1
160,56,181940,Employed,746,45736,12.97,30,38.12,2,1
161,44,46309,Employed,651,49367,19.95,11,24.23,8,0
162,26,43284,Employed,309,31280,16.21,15,16.5,2,1
163,32,146801,Unemployed,709,49732,18.38,45,44.25,6,1
164,32,133259,Unemployed,446,27877,12.87,59,42.21,4,1
165,43,120804,Self-Employed,776,7282,9.46,19,30.57,2,1
166,59,89000,Unemployed,727,9901,4.61,28,14.43,4,0
167,30,104179,Employed,787,18697,7.68,24,33.29,7,0
168,68,85049,Employed,829,38169,7.66,58,15.21,1,0
169,49,49265,Self-Employed,676,46227,28.24,36,59.72,4,1
170,56,43880,Employed,411,41113,28.31,44,21.74,0,1
171,66,104579,Employed,514,46662,9.91,44,10.16,6,1
172,69,151327,Employed,809,24380,5.85,43,21.0,7,0
173,49,152574,Unemployed,810,10964,10.61,24,40.98,7,0
174,21,85424,Employed,325,27015,24.5,48,58.82,6,1
175,47,90966,Employed,492,24117,26.51,6,36.27,8,1
176,54,192438,Employed,402,20699,16.53,43,32.25,0,1
177,40,178497,Unemployed,504,25984,17.58,18,59.61,4,0
178,56,87396,Employed,710,16579,15.38,55,18.25,0,0
179,62,91694,Employed,350,5814,7.94,39,19.89,9,1
180,32,156878,Employed,430,33179,4.34,22,29.03,6,1
181,60,37106,Unemployed,642,31903,19.78,37,47.38,1,1
182,46,76731,Unemployed,699,22106,24.57,54,25.13,1,0
183,53,95010,Employed,501,6243,23.23,39,33.5,7,1
184,30,52599,Employed,599,36221,27.31,38,56.97,7,1
185,49,91326,Self-Employed,445,27158,24.97,49,53.64,0,0
186,24,95706,Employed,761,26797,10.76,33,57.35,8,0
187,68,29004,Unemployed,803,17946,6.15,49,18.34,9,0
188,39,135018,Employed,450,45737,14.63,34,34.11,9,0
189,45,45792,Employed,615,15917,12.4,59,45.66,9,1
190,19,74645,Unemployed,498,9054,22.67,42,46.64,9,1
191,59,27232,Employed,728,30770,4.84,29,37.5,9,0
192,62,74766,Employed,602,43715,28.46,53,51.04,1,1
193,74,140601,Employed,797,12029,28.84,21,12.14,8,1
194,70,101588,Unemployed,404,8500,5.39,18,19.85,2,1
195,23,199614,Employed,309,42704,14.72,31,26.4,0,1
196,45,25913,Employed,326,49558,27.28,12,46.45,2,1
197,45,132406,Self-Employed,626,31651,8.06,49,55.09,9,1
198,61,133693,Employed,794,42329,21.69,19,36.44,9,1
199,61,113449,Employed,426,15229,22.2,57,45.41,8,1
200,37,30567,Employed,415,39654,9.31,37,39.72,1,0
201,47,58379,Self-Employed,470,42425,3.17,46,56.22,2,1
202,28,20319,Employed,511,32993,20.94,16,55.0,8,1
203,72,110005,Employed,488,29069,19.67,37,50.4,5,0
204,45,130990,Employed,789,30584,20.54,16,23.98,1,0
205,42,24791,Unemployed,686,34240,7.22,25,28.66,4,0
206,56,151401,Unemployed,429,10488,19.3,57,30.82,0,1
207,50,81032,Employed,322,24516,17.63,39,10.22,9,1
208,18,195150,Employed,478,46228,15.22,52,21.55,4,1
209,74,108662,Unemployed,700,17619,23.98,55,45.69,8,0
210,44,41300,Employed,804,6165,13.48,59,37.22,0,0
211,74,95700,Self-Employed,710,2678,12.54,27,57.89,9,0
212,69,75609,Employed,831,21712,17.61,28,11.46,3,1
213,30,110045,Employed,628,23944,28.49,34,28.91,8,1
214,58,81901,Employed,770,7064,12.29,17,45.36,1,1
215,20,25703,Unemployed,719,17649,15.02,44,16.69,7,0
216,56,83115,Employed,711,7333,10.19,36,34.98,4,0
217,23,47676,Employed,328,3404,21.35,34,10.79,8,1
218,25,141332,Employed,544,42098,12.83,36,19.01,0,1
219,44,196512,Employed,843,30218,21.7,17,56.91,6,1
220,26,187995,Employed,359,47584,6.93,40,39.97,3,1
221,54,49802,Employed,438,31177,10.12,47,47.96,9,1
222,50,110331,Unemployed,656,16711,8.57,46,15.11,3,0
223,68,144786,Employed,511,10557,23.99,32,21.73,2,1
224,59,85169,Unemployed,438,17003,5.42,20,19.6,7,1
225,61,88147,Employed,667,48988,9.8,35,23.74,6,0
226,41,42075,Employed,785,33577,16.7,12,22.92,1,0
227,32,102015,Employed,792,19336,5.37,41,38.18,1,1
228,71,29304,Self-Employed,635,42032,3.3,51,45.28,9,0
229,49,149851,Unemployed,477,41741,21.66,29,37.42,7,1
230,49,140729,Employed,812,1683,19.57,23,24.95,4,0
231,41,79622,Unemployed,412,45340,3.23,29,44.74,4,0
232,58,74215,Employed,582,1975,4.31,37,37.59,4,0
233,69,93973,Employed,415,12411,8.92,17,41.93,8,0
234,66,128654,Employed,843,49446,27.47,33,20.58,6,0
235,66,163593,Employed,340,24730,20.62,16,57.98,4,1
236,69,44028,Employed,466,25433,24.74,8,26.39,7,1
237,29,59328,Unemployed,520,32373,23.51,42,28.48,8,1
238,56,47301,Employed,612,30986,29.54,8,37.03,2,0
239,19,58015,Unemployed,645,29269,28.65,34,12.48,0,0
240,20,56845,Employed,770,12424,4.82,37,19.56,2,0
241,66,106818,Employed,430,33828,3.61,59,50.63,8,1
242,54,96394,Unemployed,347,48964,16.42,43,49.69,8,1
243,66,195231,Unemployed,433,39983,10.34,36,17.09,2,1
244,73,63714,Self-Employed,818,35228,16.62,6,39.48,1,1
245,34,100722,Employed,616,29786,5.45,42,13.31,1,0
246,66,45230,Unemployed,737,6325,27.54,26,13.73,8,1
247,19,112554,Unemployed,734,49461,23.9,51,49.98,2,0
248,19,69262,Employed,385,16665,17.91,46,33.53,8,1
249,45,61722,Employed,347,30582,15.56,47,56.33,3,1
250,71,197431,Employed,789,13841,15.65,25,33.91,1,0
251,40,82796,Employed,723,7001,19.64,59,50.35,8,1
252,54,191231,Employed,686,4651,17.72,16,41.94,2,1
253,49,107052,Self-Employed,539,41776,16.02,15,31.53,1,0
254,50,120808,Employed,750,10366,21.34,8,37.74,0,1
255,18,156311,Unemployed,557,11787,23.65,53,56.71,6,1
256,36,111951,Employed,343,46195,20.36,59,13.79,9,1
257,19,70886,Employed,467,40318,13.57,19,36.47,7,0
258,70,123424,Employed,490,26065,14.19,50,12.59,2,1
259,61,178267,Employed,575,27506,5.66,50,37.77,6,1
260,43,124697,Unemployed,668,34664,14.19,36,40.35,9,0
261,49,116299,Self-Employed,605,5300,24.22,40,50.37,0,0
262,23,185746,Employed,404,44302,4.79,59,49.91,8,1
263,49,169177,Unemployed,720,48685,7.74,54,10.5,9,1
264,72,180811,Employed,648,36486,25.75,14,13.56,5,1
265,21,183041,Employed,618,22384,18.33,59,44.23,2,0
266,72,34497,Employed,719,41977,21.12,11,19.14,5,0
267,28,152888,Employed,356,41318,11.68,34,36.41,0,1
268,73,138915,Employed,539,16930,16.2,57,21.59,4,0
269,34,112019,Employed,726,7879,23.56,51,51.73,9,0
270,55,129017,Employed,439,30292,26.65,58,44.05,8,1
271,41,89385,Unemployed,361,42501,29.3,57,31.78,3,0
272,22,125153,Employed,451,8675,25.98,27,21.23,3,0
273,69,53826,Employed,429,32935,4.82,54,42.97,2,1
274,51,130034,Employed,730,6121,12.27,51,27.56,2,0
275,23,104242,Unemployed,739,46843,23.22,8,39.46,1,1
276,39,143066,Unemployed,511,17848,14.28,7,43.41,3,0
277,28,70100,Unemployed,699,48076,14.78,33,16.88,8,1
278,65,145170,Employed,840,33028,24.45,42,12.46,3,0
279,33,155431,Employed,481,16112,25.5,10,34.67,4,1
280,50,116205,Unemployed,350,28175,24.37,14,17.91,3,1
281,26,32809,Employed,825,45360,12.57,37,14.48,9,1
282,23,84450,Employed,649,2817,9.16,22,14.45,7,0
283,33,58428,Employed,357,6734,12.69,16,45.11,8,1
284,46,92790,Employed,718,22998,21.94,43,55.26,5,1
285,20,131126,Employed,436,29457,12.85,40,56.59,4,0
286,37,110321,Employed,336,48999,4.5,52,56.8,9,0
287,53,22093,Employed,793,17333,24.62,23,43.55,3,0
288,36,64498,Employed,658,40996,4.71,41,56.29,8,0
289,43,136251,Self-Employed,384,16421,29.9,24,16.59,3,0
290,20,60985,Employed,838,24294,26.26,30,40.08,1,0
291,36,52009,Employed,643,15076,28.82,51,48.0,8,0
292,37,148515,Employed,470,6571,25.5,45,57.15,8,0
293,49,37718,Employed,319,24828,5.73,36,26.42,5,1
294,24,36705,Employed,602,10374,14.31,28,39.24,0,0
295,69,107618,Employed,496,24790,27.51,56,30.18,1,1
296,58,82598,Employed,626,2940,5.45,19,36.91,9,0
297,50,97878,Employed,311,34180,11.24,32,35.18,6,1
298,57,32239,Unemployed,660,8606,15.61,40,52.48,0,0
299,56,66622,Employed,595,47393,15.15,18,51.2,5,0
300,35,66665,Employed,702,20607,28.49,41,29.75,8,1
301,57,52274,Employed,737,17172,13.67,29,24.05,5,0
302,18,162491,Self-Employed,674,12400,9.45,38,52.54,6,0
303,28,128368,Employed,799,47804,15.01,54,57.73,3,0
304,45,166075,Unemployed,725,6569,13.69,12,10.93,9,0
305,74,181938,Employed,343,10601,19.83,14,35.05,0,1
306,42,173060,Employed,408,25740,29.84,55,48.58,0,0
307,67,128563,Employed,397,22188,17.89,26,59.3,7,1
308,40,156746,Employed,744,15637,15.48,37,36.53,4,1
309,48,113103,Employed,380,14061,19.03,7,45.95,6,1
310,47,86446,Employed,517,18455,29.45,49,56.67,8,1
311,59,49072,Employed,448,26726,19.87,30,28.76,2,0
312,52,53717,Employed,375,7791,6.32,6,54.24,5,0
313,24,177723,Employed,362,40967,27.64,16,23.31,5,1
314,33,137202,Unemployed,693,3554,18.95,21,46.27,5,0
315,43,195363,Unemployed,802,34380,7.27,28,57.8,0,0
316,65,142389,Employed,666,9268,9.22,20,42.42,9,1
317,74,129525,Self-Employed,777,11946,6.25,32,28.81,8,0
318,69,24646,Employed,554,45232,28.94,21,13.9,8,0
319,66,59713,Employed,358,46123,4.91,51,20.03,7,1
320,19,87936,Employed,819,2051,23.64,38,46.46,8,1
321,18,195403,Employed,688,3983,12.12,44,59.48,2,0
322,65,42185,Employed,725,23927,5.19,13,52.49,4,1
323,29,104263,Employed,801,11296,14.71,53,49.57,8,0
324,22,72107,Employed,823,34994,3.01,6,10.94,9,0
325,54,37563,Employed,579,4154,25.07,24,46.68,3,0
326,49,90729,Unemployed,344,35042,17.63,31,51.38,7,1
327,72,35701,Unemployed,480,19773,15.2,42,26.25,6,1
328,26,199289,Employed,700,32142,25.39,58,59.99,2,1
329,58,195682,Employed,673,33587,17.02,52,11.79,0,1
330,52,148331,Employed,533,13726,19.07,8,29.55,0,0
331,36,180482,Employed,485,7557,25.0,29,20.63,9,0
332,65,119280,Employed,374,18255,22.46,27,58.63,3,1
333,33,58665,Employed,532,19345,20.79,6,43.6,6,0
334,20,35957,Employed,467,27756,22.01,44,30.84,1,0
335,37,199199,Employed,834,13132,10.1,14,58.63,5,0
336,41,66008,Self-Employed,706,44436,6.17,38,13.08,5,0
337,71,81920,Unemployed,529,32423,19.81,28,20.97,5,1
338,73,183947,Employed,592,27143,9.05,39,31.13,2,0
339,50,133828,Employed,699,31305,4.29,54,16.21,6,0
340,41,143852,Self-Employed,337,27891,9.87,54,59.85,1,1
341,69,152698,Employed,531,5161,22.45,40,38.67,1,0
342,28,110815,Employed,467,34843,22.13,54,18.11,0,0
343,66,184714,Employed,584,48814,27.39,15,22.42,5,0
344,25,58311,Employed,402,31951,21.23,37,29.81,7,1
345,53,52356,Unemployed,444,8330,14.87,7,46.32,3,1
346,55,23809,Employed,665,39128,10.03,12,25.21,3,1
347,57,194443,Employed,452,19419,23.48,29,24.89,6,0
348,37,54875,Employed,721,34157,14.12,8,41.29,7,1
349,52,29465,Employed,618,22525,25.02,17,12.29,1,0
350,65,93844,Employed,784,30400,25.99,44,45.6,4,0
351,42,106889,Unemployed,382,28310,12.49,47,37.38,2,0
352,52,35250,Employed,832,44916,12.28,41,31.7,7,0
353,42,66023,Employed,587,12756,27.67,32,29.65,0,1
354,46,121350,Employed,788,23187,13.73,6,21.05,6,0
355,35,197696,Employed,567,5077,22.08,51,22.01,5,0
356,63,36427,Employed,378,11760,13.2,41,34.99,1,0
357,35,184348,Employed,675,25937,22.74,37,19.91,5,0
358,19,91643,Employed,450,9250,7.69,32,38.38,7,1
359,71,154511,Employed,314,21964,25.57,49,42.48,0,1
360,52,98672,Employed,400,49756,29.55,36,32.89,7,1
361,33,37300,Self-Employed,687,7941,23.68,38,15.35,9,0
362,58,80289,Employed,334,25915,12.7,51,56.88,0,1
363,53,168254,Employed,650,38349,17.99,37,51.66,8,1
364,50,177981,Employed,582,47891,21.08,9,57.68,0,1
365,21,39659,Employed,824,20120,8.21,58,28.41,7,1
366,50,182475,Employed,464,34807,10.64,30,11.61,7,1
367,31,184658,Employed,727,41433,24.65,44,31.82,9,0
368,38,30360,Employed,557,9312,28.52,34,33.25,8,1
369,65,41424,Employed,742,16573,10.35,14,45.33,9,0
370,37,118035,Employed,419,4813,6.98,19,46.74,9,1
371,73,68791,Employed,368,23857,29.5,55,31.24,3,1
372,25,154137,Employed,573,23611,11.64,10,58.86,2,1
373,24,32300,Employed,621,16540,24.02,57,15.61,3,0
374,20,53370,Unemployed,661,42704,13.23,22,55.12,7,0
375,34,47209,Self-Employed,798,5481,28.63,37,48.5,3,0
376,50,40927,Employed,503,48426,19.19,11,36.66,8,1
377,65,54579,Employed,805,16913,14.21,10,48.13,2,0
378,29,29032,Employed,408,38311,7.81,34,47.71,4,1
379,68,113254,Employed,564,12143,9.9,33,18.34,7,0
380,39,98413,Employed,687,15590,26.14,15,36.62,7,1
381,72,191803,Employed,715,40771,4.54,28,33.55,0,1
382,39,133528,Unemployed,611,29530,7.23,54,34.71,6,0
383,63,143916,Employed,551,26598,8.2,58,18.41,4,1
384,47,92302,Employed,687,5960,4.91,24,29.25,3,0
385,55,105757,Unemployed,502,41635,21.51,9,35.94,0,0
386,55,176174,Employed,409,28937,29.49,51,44.21,3,1
387,62,185505,Employed,381,16859,6.76,37,31.16,2,1
388,68,35932,Employed,492,40811,24.57,25,42.34,0,1
389,71,45714,Employed,438,35543,7.77,51,40.88,8,1
390,25,77803,Employed,520,2908,29.29,33,50.65,6,1
391,44,190815,Employed,488,28608,16.69,59,30.74,6,1
392,44,153624,Employed,639,32549,25.88,41,53.63,1,1
393,51,76627,Employed,777,7145,7.61,28,11.31,6,1
394,38,197059,Employed,721,42649,26.9,8,55.04,3,0
395,47,99810,Unemployed,496,6231,5.2,29,57.56,3,1
396,50,65380,Employed,497,7004,3.62,7,30.62,8,1
397,45,180322,Employed,623,9395,22.14,23,57.47,3,0
398,64,84686,Employed,559,46041,5.88,54,53.22,2,0
399,50,140321,Employed,498,47829,26.38,37,12.85,4,1
400,22,65028,Employed,436,5121,19.77,53,42.57,5,0
401,65,166367,Unemployed,645,2876,11.94,51,55.88,7,0
402,36,133141,Employed,799,40019,10.49,53,20.3,3,0
403,21,75248,Unemployed,474,2700,5.21,53,56.03,8,1
404,52,30523,Unemployed,788,2590,21.54,35,20.35,2,0
405,66,65530,Self-Employed,768,31487,27.76,43,41.56,4,1
406,34,33769,Employed,615,23045,23.43,32,29.03,2,1
407,61,132035,Self-Employed,679,3064,19.72,43,37.4,5,0
408,45,195717,Employed,741,43447,6.21,43,24.07,2,1
409,47,176629,Employed,432,3345,25.35,19,30.37,6,1
410,46,99782,Employed,326,36408,29.07,6,35.17,2,1
411,63,98382,Self-Employed,556,33139,10.1,57,35.09,4,1
412,70,188157,Employed,655,34818,14.35,6,59.71,6,0
413,23,130939,Employed,535,46238,3.38,55,52.74,7,0
414,52,164542,Employed,658,20971,25.46,45,17.36,8,1
415,58,98712,Employed,570,40360,3.56,13,58.03,5,1
416,54,138643,Employed,848,48004,16.14,22,38.41,5,1
417,41,127417,Unemployed,809,47535,18.56,6,40.49,0,0
418,46,157877,Self-Employed,738,7731,4.5,19,23.8,5,0
419,66,148256,Unemployed,770,13707,7.74,48,25.15,4,0
420,63,121422,Employed,610,7383,24.35,49,16.89,8,1
421,70,109300,Employed,516,15847,9.82,18,51.48,3,1
422,48,26630,Employed,611,49417,22.57,35,34.17,3,1
423,52,144474,Employed,529,5899,23.23,18,14.88,1,1
424,50,118869,Employed,639,38302,14.0,8,32.22,6,0
425,69,35701,Unemployed,794,32491,4.72,27,27.03,5,0
426,38,165931,Employed,463,34290,3.29,40,44.5,6,0
427,49,172255,Unemployed,415,42530,16.3,19,19.33,8,1
428,40,191510,Self-Employed,370,30954,4.93,45,56.76,1,1
429,50,117285,Employed,352,20723,22.61,50,49.06,9,1
430,20,137556,Self-Employed,641,5208,13.28,27,29.58,7,1
431,35,193316,Unemployed,631,19836,21.45,38,19.41,7,1
432,42,35021,Employed,378,31689,14.02,17,48.38,8,1
433,59,199115,Employed,406,31955,19.97,29,15.93,5,0
434,48,84361,Employed,381,6125,25.49,10,14.37,1,1
435,71,152317,Employed,501,4185,26.88,14,43.99,4,1
436,20,192083,Employed,691,48468,3.46,7,20.01,1,1
437,57,30355,Employed,529,10038,20.43,36,42.15,3,1
438,63,118841,Employed,319,28968,18.23,51,27.77,4,0
439,41,199764,Employed,622,49295,20.2,34,14.79,7,1
440,67,180786,Employed,767,44857,4.57,34,41.22,9,0
441,49,37198,Employed,609,39963,4.89,59,42.32,8,0
442,64,86951,Employed,771,43871,16.42,41,37.01,4,0
443,39,152724,Employed,373,17683,4.54,35,27.44,5,1
444,40,194697,Employed,735,5958,23.96,27,55.69,0,0
445,19,38740,Unemployed,761,33851,23.86,26,44.01,0,0
446,44,23810,Employed,449,8915,6.17,46,37.72,0,0
447,59,143743,Employed,614,35144,15.29,54,34.05,1,0
448,19,167641,Employed,549,33585,19.06,17,52.15,7,0
449,43,119855,Employed,573,45534,26.21,12,58.06,4,1
450,34,46783,Employed,781,41594,29.69,30,37.86,9,1
451,57,141701,Employed,381,14306,3.46,13,12.47,2,1
452,50,98047,Unemployed,531,22369,15.86,38,34.56,4,1
453,26,29471,Unemployed,330,18882,24.69,21,42.28,7,0
